lesson;en;cs
1;people;lide
1;history;historie
1;way;zpusob
2;art;umeni
2;world;svet
2;information;informace
3;map;mapa
3;two;dve
3;family;rodina
4;government;vlada
4;health;zdravi
4;system;system
5;computer;pocitac
5;meat;maso
5;year;rok
6;thanks;vdek
6;music;hudba
6;person;osoba
7;reading;cteni
7;method;metoda
7;data;data
8;food;jidlo
8;understanding;pochopeni
8;theory;teorie
9;law;zakon
9;bird;ptak
9;literature;literatura
9;problem;problem
10;software;software
10;control;kontrola
11;knowledge;znalosti
11;power;vykon
11;ability;schopnost
12;economics;ekonomika
12;love;laska
12;internet;internet
13;television;televize
13;science;veda
13;library;knihovna
14;nature;priroda
14;fact;fakt
14;product;produkt
7;dog;pes
5;potato;brambora
7;cat;kocka
9;help;pomoc
